x,y
0.7570533,0.87815636
0.75705314,0.8781562
0.75705343,0.8781551
0.7570533,0.8781555
0.7570527,0.8781549
0.7570537,0.8781558
0.75705147,0.8781522
0.75705343,0.8781551
0.7570545,0.8781572
0.7570539,0.87815475
0.7570522,0.8781534
0.7570533,0.8781569
0.7570531,0.8781554
0.75704885,0.8781536
0.7570532,0.87815654
0.7570489,0.87815493
0.757053,0.8781575
0.75705516,0.8781544
0.75705284,0.8781559
0.7570547,0.8781559
0.75705284,0.8781569
0.7570509,0.87815636
0.7570538,0.8781561
0.7570493,0.87815416
0.7570547,0.87815577
0.75705403,0.8781572
0.7570529,0.87815636
0.75705457,0.87815535
0.7570522,0.8781535
0.75705576,0.8781557
0.4274754,0.18320477
0.040957868,0.70762223
0.27681655,0.1213432
0.3780783,0.93405676
0.4324151,0.9580703
0.5539615,0.029904645
0.2703243,0.002915855
0.3239355,0.10761293
0.24653776,0.5453906
0.49922138,0.8208929
0.25810334,0.60923153
0.4025999,0.7721608
0.20531721,0.6331694
0.049178068,0.5934054
0.3341261,0.5522498
0.4224267,0.3898676
0.6410445,0.1228232
0.4854235,0.8969863
0.11153263,0.82487637
0.5011841,0.46673164
0.24201868,0.26768053
0.30548608,0.28880107
0.13091923,0.612802
0.51489884,0.1533022
0.36167964,0.36192018
0.51388466,0.6140964
0.58213973,0.89857185
0.03988215,0.68325263
0.4015171,0.26355818
0.55453604,0.8328321
0.22590424,0.6597216
0.3598322,0.50541776
0.68506235,0.14485833
0.2249442,0.36306944
0.06828043,0.75319934
0.36910737,0.10804592
0.45404646,0.46183336
0.4299453,0.60535103
0.19770731,0.37098476
0.19491163,0.5361625
0.53638583,0.19934028
0.11215262,0.27484673
0.55665535,0.9311656
0.048153225,0.5984742
0.33239937,0.6498
0.14236066,0.568921
0.5751177,0.82475626
0.5046799,0.96158844
0.63615865,0.12790394
0.016290484,0.6048785
0.34618095,0.6811642
0.3523714,0.22441125
0.14796653,0.19250911
0.25689858,0.68737143
0.43477544,0.790061
0.62879133,0.21288304
0.55182934,0.18648161
0.25844634,0.051597495
0.21289109,0.5512714
0.44581658,0.1570001
0.25918183,0.07740885
0.051404428,0.71477336
0.22256517,0.5655277
0.12550764,0.78704894
0.5984777,0.81130284
0.2584822,0.2692041
0.55270576,0.9482344
0.28548694,0.12803175
0.07719864,0.24132137
0.48590708,0.09885385
0.46088284,0.100364335
0.1962306,0.74080735
0.25300398,0.7248666
0.24463147,0.25711542
0.53782624,0.66651493
0.5457949,0.012830335
0.4515041,0.9435439
0.018832441,0.60503083
0.47511148,0.8671936
0.11656353,0.68379134
0.1598248,0.5851507
0.32158524,0.5574326
0.48956993,0.37852654
0.45523104,0.27955002
0.5656676,0.84703517
0.21532899,0.8453825
0.40164974,0.6582122
0.056384455,0.7095283
0.12907952,0.33070207
0.1704351,0.23080479
0.09942671,0.45037282
0.1042343,0.28645664
0.07721048,0.40102738
0.38141617,0.28302318
0.48421293,0.028733453
0.5155941,0.80238485
0.4843238,0.5116907
0.43072522,0.6619451
0.30473903,0.15487182
0.6077633,0.31635526
